Task_ID,Task_Duration_Days,Labor_Required,Equipment_Units,Material_Cost_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count
T476,33,4,9,43568.54,3,Low,0.58,0.54,3
T477,61,6,8,60094.16,21,Medium,0.45,0.66,4
T478,51,7,3,99956.21,21,High,0.81,0.73,3
T479,43,10,5,77175.44,21,Low,0.6,0.6,1
T480,12,19,7,40388.7,1,Low,0.45,0.22,0
T481,67,19,5,82927.75,22,Medium,0.85,0.67,4
T482,65,12,8,17900.13,28,High,0.89,0.64,2
T483,33,3,5,4015.9,5,Low,0.74,0.12,0
T484,40,13,1,21240.39,26,Low,0.24,0.43,0
T485,74,18,5,34700.74,13,Medium,0.65,0.37,1
T486,43,8,4,51547.49,0,Low,0.81,0.64,1
T487,44,15,6,61897.78,17,Low,0.31,0.27,1
T488,29,1,3,91149.97,6,Medium,0.38,0.57,4
T489,13,3,5,51475.55,0,Medium,0.91,0.83,3
T490,12,8,2,50626.29,0,Medium,0.22,0.74,0
T491,46,4,6,5974.06,0,Medium,0.8,0.84,3
T492,2,16,6,4456.24,23,Medium,0.58,0.88,3
T493,35,10,5,55564.84,3,Low,0.56,0.11,1
T494,87,12,6,44379.68,3,Low,0.21,0.6,3
T495,81,14,7,84078.86,28,Low,0.86,0.43,0
T496,8,14,5,16907.28,17,Low,0.49,0.79,0
T497,26,2,1,3472.19,26,Medium,0.63,0.3,2
T498,74,5,8,45454.84,10,High,0.74,0.88,4
T499,34,5,4,24510.38,26,High,0.76,0.59,3
T500,7,6,9,5911.82,0,Medium,0.96,0.73,4
T501,68,13,6,72735.23,27,Low,0.63,0.17,4
T502,58,9,1,12047.71,9,Low,0.52,0.25,4
T503,75,15,3,61223.63,8,High,0.96,0.71,4
T504,29,14,3,28823.93,22,Medium,0.71,0.12,0
T505,36,7,4,18176.11,3,Medium,0.44,0.75,3
T506,89,2,6,38595.4,27,Medium,0.3,0.11,2
T507,21,7,7,80343.13,5,Medium,0.87,0.63,4
T508,36,6,4,39817.26,29,High,0.49,0.39,2
T509,10,17,6,75326.2,15,Low,0.73,0.59,0
T510,73,2,1,13423.14,1,Medium,0.58,0.66,0
T511,24,3,8,77504.37,22,High,0.36,0.37,1
T512,64,5,7,24456.4,17,Low,0.68,0.19,4
T513,49,5,9,68061.92,9,Medium,0.25,0.16,1
T514,36,1,3,57012.37,23,Low,0.53,0.57,2
T515,82,8,2,92985.33,23,High,0.64,0.52,3
T516,24,12,1,39344.93,16,Low,0.55,0.69,1
T517,23,4,3,7550.35,12,Medium,0.8,0.51,0
T518,62,13,5,2896.39,23,Low,0.86,0.44,4
T519,37,15,2,82859.0,17,Medium,0.82,0.42,2
T520,12,11,3,52948.83,21,Low,0.23,0.12,0
T521,55,10,4,77749.16,12,Low,0.36,0.37,3
T522,13,3,7,24208.13,16,Low,0.63,0.88,4
T523,23,14,3,35163.29,4,High,0.95,0.8,3
T524,89,16,9,3980.28,10,Low,0.87,0.36,3
T525,30,10,8,96187.74,6,Low,0.87,0.57,4
T526,17,10,4,67118.92,28,Medium,0.44,0.78,4
T527,62,12,1,93387.3,9,Medium,0.54,0.45,3
T528,84,9,1,27284.14,16,High,0.58,0.11,2
T529,89,1,1,61534.9,14,Low,0.33,0.16,4
T530,86,5,1,68171.5,17,Medium,0.22,0.51,0
T531,13,8,8,32437.42,22,Low,0.96,0.88,1
T532,59,11,3,84962.81,21,Low,0.39,0.65,2
T533,19,12,6,94768.98,18,Medium,0.39,0.16,4
T534,49,1,3,88600.66,29,Medium,0.27,0.25,4
T535,12,11,5,74167.63,25,Medium,0.94,0.72,2
T536,61,5,7,28469.0,1,Low,0.66,0.77,1
T537,19,15,2,28879.99,25,Low,0.73,0.59,3
T538,76,5,6,96372.67,3,Low,0.93,0.62,0
T539,9,12,6,2018.17,2,High,0.48,0.12,4
T540,71,5,3,71888.95,6,Low,0.7,0.76,1
T541,28,17,6,70918.37,23,Low,0.23,0.73,0
T542,78,17,5,62646.26,17,Low,0.35,0.31,2
T543,52,12,2,99020.78,9,Medium,0.86,0.67,4
T544,83,15,9,31876.06,6,Low,0.81,0.27,3
T545,16,15,8,34657.21,7,High,0.48,0.13,2
T546,69,6,3,8815.0,5,Low,0.5,0.26,4
T547,12,12,8,44837.02,21,High,0.63,0.24,1
T548,25,18,9,26843.8,25,Low,0.2,0.37,0
T549,52,14,3,34995.28,0,Medium,0.39,0.43,0
T550,85,2,3,83622.61,3,High,0.37,0.51,4
T551,53,9,2,93612.97,13,Low,0.4,0.48,2
T552,23,5,8,19387.57,16,High,0.84,0.32,3
T553,16,1,1,37878.38,19,Low,0.42,0.12,1
T554,57,3,8,92934.43,17,High,0.35,0.58,4
T555,39,6,7,7119.04,10,Medium,0.6,0.42,1
T556,53,5,7,10143.69,28,Low,0.89,0.34,0
T557,42,5,3,17116.31,20,Low,0.39,0.79,3
T558,58,1,1,59926.07,25,Low,0.26,0.7,1
T559,39,17,4,15896.75,13,Low,0.49,0.79,4
T560,14,19,9,96839.56,8,Low,0.8,0.5,3
T561,5,14,5,45224.74,26,Low,0.64,0.2,2
T562,35,12,1,50650.28,14,Low,0.85,0.66,4
T563,87,10,5,25419.2,11,Medium,0.97,0.26,1
T564,75,18,8,47625.06,9,Low,0.83,0.45,3
T565,18,11,8,66529.45,18,Low,0.68,0.15,4
T566,76,2,5,75366.54,23,Medium,0.59,0.76,3
T567,9,18,9,75632.94,18,Low,0.23,0.2,3
T568,74,7,1,58211.22,5,Low,0.99,0.82,3
T569,58,15,4,90531.62,19,Low,0.51,0.79,1
T570,17,11,3,81923.38,23,High,0.32,0.47,4
T571,7,18,2,75947.76,26,High,0.73,0.7,0
T572,46,12,8,6504.95,5,Low,0.43,0.6,0
T573,13,6,7,1680.92,7,Medium,0.67,0.74,1
T574,40,13,9,22032.28,0,Medium,0.67,0.45,1
T575,42,16,2,66688.84,21,Medium,0.56,0.73,3
T576,9,18,4,41708.55,16,Medium,0.87,0.47,4
T577,50,10,6,40838.22,16,Medium,0.41,0.85,4
T578,27,8,3,88574.1,23,Low,0.56,0.49,2
T579,66,18,8,89660.72,14,Low,0.63,0.47,2
T580,5,1,3,91008.35,6,Low,0.73,0.73,0
T581,29,8,2,32073.93,18,High,0.83,0.76,2
T582,37,6,3,69414.53,21,Medium,0.52,0.54,2
T583,38,5,6,27891.68,24,High,0.72,0.24,0
T584,83,15,2,19870.37,22,High,0.32,0.47,0
T585,8,15,8,19278.61,27,Low,0.95,0.87,2
T586,65,2,1,34868.65,2,Medium,0.51,0.7,4
T587,86,1,7,43565.8,29,Medium,0.78,0.75,2
T588,17,11,2,83263.97,29,High,0.22,0.13,3
T589,71,10,6,12869.22,28,High,0.36,0.47,3
T590,89,18,2,73757.66,21,Medium,0.59,0.62,3
T591,45,18,2,53614.04,10,Low,0.9,0.76,1
T592,4,17,8,29506.59,19,Medium,0.62,0.14,3
T593,36,8,2,49789.14,29,Low,0.94,0.78,4
T594,70,15,7,30694.26,28,Medium,0.59,0.54,1
T595,31,8,3,60012.11,18,High,0.59,0.26,1
T596,19,17,8,43950.55,8,Low,0.3,0.35,3
T597,61,12,7,17276.15,9,Medium,0.84,0.33,2
T598,54,8,8,12541.72,1,Low,0.4,0.52,0
T599,39,14,7,55122.87,0,Low,0.92,0.14,2
T600,74,4,6,90338.89,29,Low,0.93,0.23,2
T601,19,1,7,35051.81,15,Medium,0.95,0.75,1
T602,39,1,5,73567.01,17,High,0.62,0.21,1
T603,67,19,7,66207.47,22,High,0.74,0.29,1
T604,45,16,1,93223.94,25,Low,0.82,0.46,4
T605,13,14,1,82277.12,16,High,0.3,0.51,4
T606,58,16,9,57093.92,5,Medium,0.68,0.71,0
T607,20,5,5,66046.02,13,Low,0.23,0.46,1
T608,72,9,5,89940.26,22,Low,0.6,0.73,3
T609,61,2,3,40552.36,24,Low,0.32,0.59,1
T610,39,18,5,33352.68,14,High,0.35,0.19,4
T611,1,6,3,2070.3,13,Medium,0.49,0.23,1
T612,3,9,9,82828.56,23,Medium,0.55,0.45,4
T613,77,1,9,80297.09,21,Low,0.7,0.42,1
T614,62,9,6,11341.0,2,Medium,0.26,0.69,3
T615,63,16,1,58108.88,23,Low,0.6,0.56,0
T616,25,13,7,46934.19,22,Low,0.35,0.41,3
T617,56,9,7,12752.2,18,Medium,0.66,0.24,4
T618,33,13,4,98076.25,24,Low,0.71,0.28,2
T619,38,9,8,22254.89,11,High,0.65,0.56,3
T620,6,11,6,7656.18,1,Low,0.79,0.44,1
T621,58,4,4,59889.89,2,Medium,0.47,0.51,0
T622,44,2,4,74147.8,17,Low,0.81,0.24,1
T623,45,6,2,4211.9,28,Medium,0.55,0.63,1
T624,32,14,2,66213.05,0,Low,0.59,0.78,3
T625,45,4,4,53696.9,19,Low,0.72,0.31,0
T626,61,6,5,11223.24,20,High,0.21,0.49,2
T627,47,19,8,18079.86,28,Low,0.72,0.88,1
T628,21,6,6,57229.46,5,High,0.69,0.37,0
T629,80,2,4,30339.4,4,High,0.45,0.58,2
T630,85,18,7,93893.26,0,Low,0.27,0.17,1
T631,75,13,8,82055.28,18,Low,0.27,0.58,0
T632,36,9,2,98373.15,0,Medium,0.94,0.17,3
T633,19,19,7,26707.41,26,High,0.75,0.87,1
T634,20,13,2,97002.64,20,High,0.3,0.67,1
T635,57,11,2,43692.15,20,Medium,0.49,0.73,0
T636,18,1,8,35404.36,15,Medium,0.67,0.66,1
T637,47,7,2,5984.6,11,Low,0.87,0.57,2
T638,49,15,9,6223.76,26,High,0.23,0.46,1
T639,14,1,1,69509.11,28,High,0.39,0.79,4
T640,15,12,9,46334.97,21,Low,0.91,0.87,2
T641,31,7,1,23425.64,7,Low,0.21,0.5,0
T642,1,15,2,61783.06,25,Low,0.36,0.85,2
T643,54,19,6,26032.95,15,Low,0.97,0.57,4
T644,3,1,6,58185.54,27,High,0.69,0.53,4
T645,16,17,1,36561.67,0,Low,0.41,0.46,1
T646,87,17,7,82531.67,3,Low,0.25,0.27,1
T647,57,3,8,82248.92,9,Low,0.22,0.1,3
T648,75,12,2,48257.69,10,High,0.4,0.29,2
T649,12,6,8,35731.09,16,Medium,0.91,0.51,3
T650,74,11,9,36893.42,24,Low,0.53,0.4,4
T651,16,3,6,80765.74,26,Low,0.78,0.46,1
T652,72,8,5,33489.77,22,High,0.93,0.88,1
T653,76,14,9,21696.88,6,High,0.53,0.38,1
T654,24,14,9,9384.15,11,Low,0.35,0.46,0
T655,28,10,1,47202.62,20,Low,0.61,0.21,4
T656,8,2,3,48731.08,6,Low,0.93,0.14,1
T657,36,14,9,84249.96,11,Low,0.84,0.72,4
T658,8,9,2,22902.63,14,Medium,0.25,0.56,1
T659,58,3,4,38718.14,1,High,0.75,0.71,2
T660,60,8,4,81032.17,13,Low,0.66,0.22,4
T661,50,16,2,82538.74,12,High,0.93,0.56,3
T662,28,2,3,39076.5,3,Low,0.3,0.3,0
T663,41,6,3,46453.28,13,Medium,0.63,0.28,3
T664,64,12,1,31025.3,13,Medium,0.9,0.11,4
T665,27,5,6,93322.93,15,Low,0.53,0.2,1
T666,63,2,8,12745.73,6,Low,0.59,0.35,4
T667,17,16,3,93441.19,18,Medium,0.26,0.19,0
T668,73,5,5,68702.78,1,Low,0.42,0.89,4
T669,33,15,1,53625.64,9,Low,0.46,0.35,1
T670,84,12,7,4233.25,17,Medium,0.96,0.2,3
T671,77,4,1,48084.02,28,High,0.43,0.26,2
T672,29,15,9,41367.06,16,Low,0.57,0.57,3
T673,13,11,8,16960.66,4,High,0.74,0.15,1
T674,46,16,7,65984.55,11,Low,0.33,0.79,1
T675,35,6,7,97143.94,5,Medium,0.59,0.87,0
T676,6,14,5,56656.69,21,Medium,0.79,0.3,4
T677,82,18,5,71760.57,8,High,0.89,0.46,4
T678,69,12,5,7776.59,19,Low,0.7,0.12,3
T679,47,11,1,42349.03,0,Medium,0.74,0.61,2
T680,25,13,8,12519.49,21,Medium,0.3,0.43,2
T681,66,11,1,61666.79,14,Low,0.96,0.32,0
T682,10,16,4,93909.73,20,Low,0.31,0.27,1
T683,56,15,9,66516.0,25,Low,0.82,0.62,0
T684,30,15,9,8603.5,5,Low,0.41,0.43,4
T685,5,4,5,36111.95,18,High,0.95,0.24,1
T686,33,11,4,55515.67,17,Low,0.78,0.65,0
T687,65,19,3,40917.57,5,Low,0.8,0.55,3
T688,18,15,3,83530.76,12,Medium,0.38,0.79,4
T689,49,4,5,81652.43,0,Low,0.55,0.19,2
T690,11,13,1,61571.27,22,Medium,0.69,0.73,0
T691,85,19,5,37972.34,22,Low,0.82,0.64,4
T692,26,2,6,26278.3,25,High,0.28,0.19,4
T693,63,14,7,11481.56,12,High,0.97,0.66,2
T694,89,4,9,36134.87,6,High,0.91,0.45,2
T695,86,16,3,41904.08,14,Low,0.42,0.86,2
T696,59,14,2,67906.47,11,Medium,0.86,0.21,0
T697,27,15,3,66157.82,26,Low,0.61,0.61,2
T698,49,3,9,7940.71,25,Low,0.57,0.41,3
T699,77,8,7,40130.67,0,Low,0.45,0.87,4
T700,33,16,9,18996.11,14,Medium,0.66,0.36,2
T701,1,10,2,16524.46,3,Low,0.78,0.87,4
T702,21,4,5,82902.91,12,Medium,0.53,0.82,1
T703,55,18,4,5149.61,22,Low,0.7,0.32,1
T704,6,2,2,42499.1,26,Low,0.76,0.74,2
T705,81,17,9,17652.16,24,Medium,0.77,0.9,4
T706,69,13,9,88053.69,4,Low,0.24,0.3,1
T707,5,4,6,56147.01,28,Medium,0.89,0.45,2
T708,3,11,6,23906.68,1,Low,0.57,0.52,4
T709,53,7,8,50740.3,22,High,0.41,0.34,2
T710,23,12,6,73417.15,25,Medium,0.39,0.11,4
T711,53,10,1,95853.68,0,Low,0.59,0.28,1
T712,37,7,4,22824.15,15,Low,0.91,0.33,2
T713,74,13,7,88732.0,22,Medium,0.5,0.45,1
T714,74,7,2,93496.11,5,High,0.8,0.24,2
T715,83,17,9,91725.63,22,Low,0.28,0.8,0
T716,17,10,8,63906.02,15,Low,0.58,0.66,1
T717,85,10,8,63352.24,13,High,0.99,0.17,1
T718,78,4,7,40917.85,28,Medium,0.82,0.62,3
T719,73,4,4,75487.39,25,Low,0.37,0.62,1
T720,1,7,2,53598.11,2,Low,0.6,0.86,4
T721,51,1,3,68066.37,14,Low,0.39,0.1,2
T722,45,12,6,43417.33,2,Medium,0.53,0.3,0
T723,77,13,5,73418.15,22,Low,0.82,0.84,4
T724,4,10,8,82622.68,28,High,0.82,0.85,4
T725,62,15,6,15497.19,1,Low,0.38,0.68,4
T726,65,13,6,83460.04,0,Low,0.94,0.71,4
T727,32,9,1,54489.36,8,Medium,0.67,0.17,0
T728,34,9,4,84621.92,8,High,0.5,0.51,3
T729,72,15,5,43698.87,22,High,0.6,0.29,1
T730,39,10,3,38525.01,6,Low,0.68,0.24,4
T731,26,10,9,91591.01,2,Medium,0.65,0.75,1
T732,34,8,1,25865.76,25,Medium,0.59,0.21,1
T733,54,16,6,84577.02,17,Low,0.6,0.47,4
T734,3,17,6,48918.04,10,Low,0.34,0.85,3
T735,50,5,5,51895.45,6,Low,0.85,0.25,1
T736,12,4,5,31538.36,8,Low,0.63,0.88,2
T737,65,18,5,57731.18,0,High,0.3,0.9,1
T738,54,19,6,33195.91,28,Low,0.81,0.54,4
T739,5,4,8,4887.67,13,High,0.95,0.24,0
T740,57,7,2,27927.86,19,Medium,0.96,0.35,1
T741,17,10,6,1631.53,5,Medium,0.5,0.44,3
T742,47,18,1,97857.12,6,Medium,0.31,0.35,2
T743,23,19,4,96608.97,9,Low,0.61,0.32,2
T744,79,4,3,40120.37,6,Low,0.29,0.88,0
T745,85,10,9,73108.71,25,Low,0.95,0.22,0
T746,14,1,3,35234.8,1,Medium,0.35,0.69,1
T747,66,18,6,67438.22,29,Low,0.4,0.1,4
T748,75,5,1,80737.57,3,Medium,0.53,0.58,3
T749,51,15,6,94728.87,20,Low,0.51,0.83,2
T750,38,17,4,40621.02,29,Low,0.84,0.33,0
T751,64,3,8,78546.5,27,Low,0.57,0.25,3
T752,38,12,9,27326.92,16,High,0.34,0.62,4
T753,50,2,4,99042.9,0,Medium,0.41,0.67,2
T754,82,1,6,3551.19,9,Low,0.61,0.65,2
T755,30,17,1,60749.35,18,Medium,0.32,0.36,4
T756,79,16,4,66291.09,14,Low,0.69,0.3,2
T757,51,5,7,69116.51,9,High,0.65,0.86,4
T758,63,15,1,12918.37,18,Medium,0.77,0.84,2
T759,52,3,8,93914.45,11,Low,0.95,0.47,1
T760,38,7,6,18937.14,23,Medium,0.93,0.78,4
T761,88,11,5,62652.59,15,Low,0.96,0.46,3
T762,79,10,9,23044.93,8,High,0.4,0.44,1
T763,30,9,2,31414.43,14,Low,0.31,0.23,3
T764,51,14,5,55099.4,29,Medium,0.44,0.44,2
T765,81,13,6,42302.15,26,Low,0.92,0.53,3
T766,5,2,7,16862.33,27,Medium,0.98,0.12,1
T767,29,3,5,17922.7,16,Medium,0.89,0.46,4
T768,4,7,9,42396.33,13,Medium,0.29,0.73,0
T769,10,18,1,75971.01,26,Medium,0.96,0.64,3
T770,56,3,7,89898.5,17,High,0.54,0.61,0
T771,17,10,7,9328.64,25,Low,0.21,0.83,3
T772,74,7,4,39917.29,1,Low,0.55,0.11,3
T773,17,9,9,10924.31,3,Low,0.24,0.55,4
T774,84,17,5,2642.66,17,High,0.64,0.73,2
T775,88,11,4,66510.15,6,Low,0.47,0.53,1
T776,69,7,7,60642.49,12,Medium,0.58,0.36,1
T777,34,14,4,17138.89,14,Medium,0.69,0.21,1
T778,6,19,3,24147.47,24,Low,0.9,0.81,2
T779,53,4,9,3347.07,22,Low,0.73,0.48,0
T780,66,6,8,83659.77,27,Low,0.55,0.8,1
T781,77,10,1,97494.37,21,Low,0.86,0.57,0
T782,43,7,7,14410.49,25,Low,0.92,0.64,2
T783,75,13,9,23916.05,0,Low,0.3,0.74,2
T784,23,14,8,86972.54,10,High,0.63,0.63,4
T785,55,4,8,92719.92,9,High,0.43,0.42,1
T786,80,8,6,42543.11,24,Low,0.24,0.51,4
T787,75,5,4,6011.62,4,Low,0.73,0.74,1
T788,16,1,8,4899.79,15,Low,0.89,0.4,2
T789,8,4,3,57821.04,10,Medium,0.33,0.41,2
T790,4,3,9,39896.62,20,High,0.85,0.18,3
T791,4,9,2,3836.59,5,Low,0.88,0.83,3
T792,56,8,2,58741.99,8,Low,0.93,0.17,2
T793,25,1,7,2118.95,12,Medium,0.41,0.62,2
T794,67,6,4,78949.82,23,Medium,0.92,0.43,0
T795,67,9,8,31336.85,7,Low,0.46,0.42,0
T796,27,7,9,4985.54,13,Medium,0.64,0.64,4
T797,32,4,7,59246.87,23,Low,0.24,0.15,3
T798,50,13,5,40370.76,0,Low,0.24,0.57,3
T799,61,17,8,97406.24,16,Medium,0.78,0.72,2
T800,51,2,4,54875.67,23,High,0.56,0.76,2
T801,19,5,2,28248.68,4,Low,0.41,0.24,4
T802,21,12,6,71234.45,24,High,0.35,0.82,3
T803,5,8,9,27877.71,1,Low,0.74,0.62,0
T804,82,6,1,90520.09,24,Medium,0.2,0.81,1
T805,42,8,7,38097.48,27,Low,0.84,0.49,4
T806,61,18,9,55436.99,29,High,0.26,0.53,1
T807,22,3,9,6006.74,23,High,0.35,0.84,0
T808,21,12,3,43186.0,8,Low,0.51,0.82,0
T809,70,3,5,83403.99,3,High,0.59,0.46,1
T810,1,6,8,80759.23,16,High,0.48,0.32,4
T811,5,2,8,23207.54,16,Medium,0.46,0.41,1
T812,12,12,4,23381.83,20,Low,0.97,0.41,4
T813,46,2,1,81913.23,17,High,0.71,0.33,4
T814,34,6,1,93109.44,15,High,0.22,0.31,2
T815,49,17,4,10440.73,29,Low,0.54,0.79,3
T816,78,3,6,45555.81,7,High,0.9,0.16,3
T817,45,2,8,34407.97,25,Low,0.44,0.64,0
T818,27,8,6,87198.16,10,Low,0.28,0.24,2
T819,73,12,9,9268.97,20,Medium,0.81,0.38,3
T820,26,4,9,21901.47,20,Medium,0.68,0.15,4
T821,47,5,2,75494.37,17,Medium,0.66,0.32,4
T822,86,13,1,6078.09,22,Low,0.24,0.71,1
T823,56,15,2,49761.0,28,High,0.31,0.81,1
T824,63,16,5,44768.6,23,Low,0.7,0.28,4
T825,48,10,4,34105.72,9,Low,0.37,0.47,4
T826,61,16,4,40062.66,12,Low,0.6,0.48,1
T827,81,12,9,53464.12,16,Medium,0.64,0.8,3
T828,26,17,8,16975.37,17,High,0.43,0.71,0
T829,36,16,6,57627.59,9,Medium,0.96,0.51,1
T830,1,12,1,80737.8,15,High,0.87,0.64,3
T831,8,8,2,76255.93,19,Low,0.78,0.78,3
T832,52,3,6,16236.09,4,Medium,0.26,0.11,3
T833,79,16,2,15775.7,12,Low,0.28,0.42,2
T834,47,13,5,27549.26,17,Low,0.59,0.83,2
T835,56,19,5,36746.4,16,Low,0.33,0.69,3
T836,86,8,6,41437.1,8,Medium,0.98,0.53,4
T837,14,5,6,68290.02,13,Medium,0.33,0.52,2
T838,28,8,6,6611.36,16,Medium,0.59,0.38,1
T839,87,12,2,4432.6,28,Low,0.49,0.52,2
T840,78,1,3,39799.15,3,Low,0.71,0.62,4
T841,88,6,6,70019.21,17,Medium,0.3,0.43,0
T842,2,18,8,20150.1,26,Low,0.54,0.67,2
T843,26,8,1,64508.94,19,High,0.42,0.79,3
T844,14,7,1,26722.99,23,Medium,0.91,0.22,3
T845,59,1,2,88722.52,23,Low,0.23,0.46,3
T846,56,16,6,89673.3,14,High,0.93,0.43,0
T847,7,12,9,30431.43,10,Medium,0.87,0.65,4
T848,3,6,4,23769.38,11,Low,0.44,0.3,1
T849,23,2,3,41719.09,8,Medium,0.83,0.61,4
T850,18,14,8,24812.63,12,Low,0.22,0.8,0
T851,38,4,9,67566.0,14,High,0.97,0.43,3
T852,15,1,5,82780.4,26,High,0.62,0.83,4
T853,64,18,9,67636.12,14,High,0.44,0.89,1
T854,89,13,2,82610.69,27,Medium,0.49,0.18,3
T855,28,2,3,40302.22,4,Low,0.25,0.29,1
T856,74,9,7,16475.38,22,Medium,0.99,0.86,2
T857,39,2,7,74057.14,18,Low,0.23,0.87,1
T858,57,9,6,36686.98,25,Medium,0.72,0.18,3
T859,17,1,6,67455.81,19,Medium,0.55,0.11,2
T860,86,11,2,27793.75,25,Low,0.96,0.23,3
T861,44,3,6,9041.73,24,Low,0.4,0.9,3
T862,25,4,4,99265.6,25,High,0.63,0.24,2
T863,17,18,3,16463.95,25,High,0.59,0.5,1
T864,13,6,2,98853.68,13,Low,0.76,0.78,0
T865,84,3,1,97750.71,27,Low,0.25,0.12,0
T866,25,11,5,79587.99,16,Low,0.36,0.58,0
T867,68,15,2,66282.87,17,High,0.37,0.32,0
T868,10,5,2,58202.9,20,Low,0.79,0.79,4
T869,67,10,7,86744.05,2,Medium,0.35,0.33,0
T870,18,12,8,29654.51,1,Low,0.66,0.65,2
T871,86,15,8,47300.44,0,Medium,0.37,0.64,0
T872,34,17,4,62319.61,9,Low,0.89,0.28,3
T873,8,10,1,41707.86,18,Medium,0.95,0.13,0
T874,40,6,7,43321.16,16,Low,0.61,0.43,1
T875,83,18,1,33698.18,11,Medium,0.48,0.33,2
T876,42,13,4,56858.95,0,Low,0.39,0.75,2
T877,41,3,8,85206.88,11,Medium,0.24,0.74,4
T878,6,10,2,20951.31,16,High,0.41,0.47,3
T879,52,14,6,93508.87,23,Low,0.72,0.59,2
T880,26,6,6,69219.68,2,High,0.63,0.58,1
T881,64,3,9,82504.05,10,Medium,0.96,0.76,0
T882,59,16,5,56062.88,16,Low,0.52,0.44,2
T883,56,7,4,78172.15,22,Low,0.76,0.32,1
T884,59,14,5,2603.84,25,Low,0.59,0.31,0
T885,70,9,5,82019.66,2,Medium,0.61,0.53,4
T886,33,15,8,4973.75,7,Medium,0.41,0.46,2
T887,53,3,8,89101.42,19,Low,0.56,0.45,2
T888,22,2,2,99204.31,3,Medium,0.58,0.17,1
T889,21,2,7,30112.68,20,High,0.77,0.67,3
T890,70,3,8,21821.54,21,High,0.95,0.27,4
T891,70,18,6,76770.97,6,Medium,0.46,0.26,3
T892,4,14,5,26049.61,13,High,0.23,0.43,2
T893,75,18,9,86690.68,13,Medium,0.6,0.28,3
T894,62,10,3,11181.42,3,Low,0.64,0.57,0
T895,62,2,4,13469.56,15,High,0.33,0.4,4
T896,24,1,9,97936.0,23,Low,0.81,0.46,3
T897,55,4,6,67710.05,28,Low,0.99,0.53,0
T898,9,14,8,84841.84,21,Low,0.96,0.26,1
T899,3,1,7,33108.61,29,High,0.36,0.22,3
T900,31,14,2,67971.89,0,High,0.9,0.8,4
T901,40,16,3,59829.94,16,Low,0.76,0.45,0
T902,36,14,1,60711.86,24,Low,0.56,0.43,3
T903,24,3,9,68570.71,9,Low,0.63,0.13,1
T904,6,3,7,57960.56,21,Medium,0.88,0.5,3
T905,66,9,1,43477.17,15,Low,0.58,0.54,0
T906,84,6,3,28316.35,15,Medium,0.5,0.55,3
T907,75,13,4,77089.55,25,Low,0.59,0.67,4
T908,4,2,4,23400.97,7,Low,0.66,0.24,2
T909,79,8,5,69543.08,28,Low,0.35,0.3,0
T910,6,2,3,24099.95,6,Low,0.92,0.75,0
T911,51,4,3,62907.69,27,High,0.74,0.86,0
T912,62,15,1,74960.75,5,Low,0.71,0.21,0
T913,57,4,7,22652.68,15,Low,0.28,0.5,3
T914,66,13,1,6934.39,19,Low,0.68,0.27,4
T915,79,12,2,13966.4,15,Low,0.3,0.15,1
T916,75,13,4,60993.7,6,Low,0.26,0.36,4
T917,8,14,4,85095.19,8,Low,0.62,0.21,0
T918,26,18,5,5454.69,13,Medium,0.52,0.67,3
T919,51,6,2,73680.97,10,Medium,0.67,0.53,3
T920,45,11,4,34790.55,25,Low,0.27,0.22,0
T921,44,2,1,48374.31,25,Low,0.54,0.11,3
T922,5,19,2,92957.1,13,High,0.34,0.75,0
T923,70,19,1,33865.18,6,Low,0.99,0.24,4
T924,26,5,4,47068.36,0,Low,0.65,0.58,2
T925,68,19,4,2354.56,25,Low,0.75,0.37,3
T926,19,2,7,9078.27,24,Low,0.46,0.57,0
T927,84,10,9,26600.57,12,Medium,0.28,0.35,0
T928,20,2,9,3757.37,19,Low,0.98,0.17,3
T929,12,11,5,63506.16,2,Medium,0.43,0.28,1
T930,47,18,1,43213.44,19,Low,0.54,0.25,0
T931,1,15,1,55266.38,3,Low,0.72,0.44,3
T932,14,9,6,18290.07,28,Medium,0.22,0.63,0
T933,64,19,2,30297.27,25,Low,0.85,0.31,1
T934,38,9,8,66718.62,10,Medium,0.63,0.11,2
T935,37,3,9,96564.97,1,Low,0.42,0.52,1
T936,11,9,4,5991.26,13,Medium,0.25,0.58,4
T937,77,14,5,89148.05,11,Low,0.33,0.87,3
T938,3,19,8,58111.24,29,High,0.92,0.57,1
T939,33,7,3,56828.04,16,Low,0.75,0.48,2
T940,6,16,5,50527.57,11,High,0.4,0.56,0
T941,50,16,3,7870.01,25,Low,0.25,0.84,3
T942,10,1,3,9897.81,11,Medium,0.75,0.76,1
T943,5,4,3,60490.29,0,Low,0.66,0.36,2
T944,23,4,7,34754.9,12,High,0.52,0.29,1
T945,10,7,7,91809.54,13,Low,0.49,0.31,4
T946,44,8,7,41252.46,23,Low,0.37,0.5,3
T947,2,17,8,15184.86,29,Low,0.74,0.7,0
T948,13,5,5,71757.16,1,Low,0.98,0.5,2
T949,40,7,5,30041.99,11,Low,0.34,0.15,1
T950,2,4,4,53021.56,25,High,0.68,0.68,3
T951,84,6,7,70085.45,20,High,0.54,0.74,1
T952,65,7,4,90126.15,27,Low,0.56,0.33,3
T953,63,18,2,79426.93,15,High,0.4,0.63,4
